"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "Vue", "comment", "blank", "total"
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\.eslintrc.js", "JavaScript", 17, 0, 0, 0, 0, 0, 1, 18
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\README.md", "Markdown", 0, 0, 21, 0, 0, 0, 9, 30
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 6
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\package-lock.json", "JSON", 0, 11629, 0, 0, 0, 0, 1, 11630
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\package.json", "JSON", 0, 31, 0, 0, 0, 0, 1, 32
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\public\index.html", "HTML", 0, 0, 0, 16, 0, 1, 1, 18
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\APIs\global.js", "JavaScript", 4, 0, 0, 0, 0, 1, 1, 6
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\APIs\statistic.js", "JavaScript", 25, 0, 0, 0, 0, 6, 4, 35
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\App.vue", "Vue", 0, 0, 0, 0, 14, 0, 2, 16
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\SourceData\businessRanking.js", "JavaScript", 989, 0, 0, 0, 0, 0, 0, 989
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\SourceData\productRanking.js", "JavaScript", 1001, 0, 0, 0, 0, 0, 0, 1001
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\SourceData\typeNum.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 19
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\businessRanking.js", "JavaScript", 585, 0, 0, 0, 0, 0, 0, 585
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\followNum.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 13
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\productRanking.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 174
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\assets\typeNum.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 20
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\components\Icon.vue", "Vue", 0, 0, 0, 0, 51, 0, 2, 53
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 8, 26
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\router\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 5, 34
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\views\DataQuery.vue", "Vue", 0, 0, 0, 0, 209, 3, 3, 215
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\src\views\StatisticalCenter.vue", "Vue", 0, 0, 0, 0, 316, 23, 5, 344
"f:\Desktop\job\外包\中国人民公安大学项目\statistic_client\vue.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 2902, 11660, 21, 16, 590, 34, 44, 15267